model,prompt_level,run,num_tests,line_coverage,branch_coverage,mutation_score,mutation_excluded_tests,golden_failed,golden_passed,own_failed,own_passed,own_fail_ratio,smells,smell_ratio
ai-3,complete,01,23,93.18,30.76,76.09,2,7,53,2,21,0.087,0,0.0
ai-3,complete,02,29,95.16,50,76.79,4,3,57,4,25,0.1379,0,0.0
ai-3,complete,03,35,97.91,69.23,67.5,6,7,53,6,29,0.1714,0,0.0
ai-3,complete,04,24,97.91,69.23,67.5,3,7,53,3,21,0.125,0,0.0
ai-3,complete,05,22,94,50,87.04,1,3,57,1,21,0.0455,0,0.0
ai-3,complete,06,31,98,83.33,87.04,2,3,57,2,29,0.0645,0,0.0
ai-3,complete,07,23,93.02,30.76,85.0,3,7,53,3,20,0.1304,0,0.0
ai-3,complete,08,22,93.75,30.76,85.0,4,7,53,4,18,0.1818,0,0.0
ai-3,complete,09,34,93.87,50,94.55,2,3,57,2,32,0.0588,0,0.0
ai-3,complete,10,22,93.02,40,86.36,2,4,56,2,20,0.0909,0,0.0
ai-3,intermediate,01,27,93.02,40,97.73,1,4,56,1,26,0.037,0,0.0
ai-3,intermediate,02,11,93.18,33.33,62.96,0,3,57,0,11,0.0,0,0.0
ai-3,intermediate,03,11,93.75,23.07,67.5,1,7,53,1,10,0.0909,0,0.0
ai-3,intermediate,04,23,93.75,30.76,80.0,3,7,53,3,20,0.1304,0,0.0
ai-3,intermediate,05,11,93.75,23.07,60.0,2,7,53,2,9,0.1818,0,0.0
ai-3,intermediate,06,23,95.08,50,87.04,1,3,57,1,22,0.0435,0,0.0
ai-3,intermediate,07,28,94.91,50,92.59,1,3,57,1,27,0.0357,0,0.0
ai-3,intermediate,08,23,92.85,43.75,87.5,1,3,57,1,22,0.0435,0,0.0
ai-3,intermediate,09,21,93.47,30.76,88.1,1,7,53,1,20,0.0476,0,0.0
ai-3,intermediate,10,22,93.75,30.76,90.0,3,7,53,3,19,0.1364,0,0.0
